"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","sample test","webkit","2025-12-24","skipped","2025-12-24","","loginTest.spec.ts","",""
"","2531","Check OpneCart Login","chromium","2025-12-24","passed","2025-12-24","","loginTest.spec.ts","",""
"","2823","Check reward page","chromium","2025-12-24","passed","2025-12-24","","rewardPageTest.spec.ts","",""
"","3628","Check OpneCart Login","webkit","2025-12-24","passed","2025-12-24","","loginTest.spec.ts","",""
"","3329","Check reward page","firefox","2025-12-24","passed","2025-12-24","","rewardPageTest.spec.ts","",""
"","10079","Check affiliate information page","webkit","2025-12-24","passed","2025-12-24","","affiliateInfoPageTest.spec.ts","",""
"","2903","Check home page","firefox","2025-12-24","passed","2025-12-24","","homePageTest.spec.ts","",""
"","4096","Check reward page","webkit","2025-12-24","passed","2025-12-24","","rewardPageTest.spec.ts","",""
"","2815","Check OpneCart Login","firefox","2025-12-24","passed","2025-12-24","","loginTest.spec.ts","",""
"","2665","Check home page","chromium","2025-12-24","passed","2025-12-24","","homePageTest.spec.ts","",""
"","3746","Check home page","webkit","2025-12-24","passed","2025-12-24","","homePageTest.spec.ts","",""
"","1","sample test","firefox","2025-12-24","skipped","2025-12-24","","loginTest.spec.ts","",""
"","1","sample test","chromium","2025-12-24","skipped","2025-12-24","","loginTest.spec.ts","",""
"","3724","Check affiliate information page","chromium","2025-12-24","passed","2025-12-24","","affiliateInfoPageTest.spec.ts","",""
"","4603","Check affiliate information page","firefox","2025-12-24","passed","2025-12-24","","affiliateInfoPageTest.spec.ts","",""
