"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 24 12:33:47 UTC 2025","Wed Dec 24 12:33:58 UTC 2025","11552","","","","","","[PROD] Check affiliate information page",""
"passed","Wed Dec 24 12:33:38 UTC 2025","Wed Dec 24 12:33:41 UTC 2025","3311","","","","","","[PROD] Check OpneCart Login",""
"passed","Wed Dec 24 12:33:13 UTC 2025","Wed Dec 24 12:33:17 UTC 2025","4533","","","","","","[PROD] Check affiliate information page",""
"passed","Wed Dec 24 12:34:04 UTC 2025","Wed Dec 24 12:34:08 UTC 2025","4506","","","","","","[PROD] Check OpneCart Login",""
"passed","Wed Dec 24 12:33:21 UTC 2025","Wed Dec 24 12:33:25 UTC 2025","3333","","","","","","[PROD] Check OpneCart Login",""
"passed","Wed Dec 24 12:33:59 UTC 2025","Wed Dec 24 12:34:04 UTC 2025","4450","","","","","","[PROD] Check home page",""
"passed","Wed Dec 24 12:33:18 UTC 2025","Wed Dec 24 12:33:21 UTC 2025","3435","","","","","","[PROD] Check home page",""
"passed","Wed Dec 24 12:33:35 UTC 2025","Wed Dec 24 12:33:38 UTC 2025","3613","","","","","","[PROD] Check home page",""
"skipped","Wed Dec 24 12:33:42 UTC 2025","Wed Dec 24 12:33:42 UTC 2025","0","","","","","","[PROD] sample test",""
"passed","Wed Dec 24 12:33:29 UTC 2025","Wed Dec 24 12:33:34 UTC 2025","5331","","","","","","[PROD] Check affiliate information page",""
"passed","Wed Dec 24 12:33:42 UTC 2025","Wed Dec 24 12:33:46 UTC 2025","4030","","","","","","[PROD] Check reward page",""
"passed","Wed Dec 24 12:34:08 UTC 2025","Wed Dec 24 12:34:13 UTC 2025","4935","","","","","","[PROD] Check reward page",""
"skipped","Wed Dec 24 12:34:08 UTC 2025","Wed Dec 24 12:34:08 UTC 2025","0","","","","","","[PROD] sample test",""
"passed","Wed Dec 24 12:33:25 UTC 2025","Wed Dec 24 12:33:28 UTC 2025","3518","","","","","","[PROD] Check reward page",""
"skipped","Wed Dec 24 12:33:25 UTC 2025","Wed Dec 24 12:33:25 UTC 2025","1","","","","","","[PROD] sample test",""
