"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Dec 24 13:07:09 UTC 2025","Wed Dec 24 13:07:09 UTC 2025","1","","","","","","[QA] sample test",""
"passed","Wed Dec 24 13:07:30 UTC 2025","Wed Dec 24 13:07:33 UTC 2025","3070","","","","","","[QA] Check OpneCart Login",""
"passed","Wed Dec 24 13:07:06 UTC 2025","Wed Dec 24 13:07:09 UTC 2025","3326","","","","","","[QA] Check OpneCart Login",""
"skipped","Wed Dec 24 13:06:52 UTC 2025","Wed Dec 24 13:06:52 UTC 2025","0","","","","","","[QA] sample test",""
"passed","Wed Dec 24 13:06:45 UTC 2025","Wed Dec 24 13:06:49 UTC 2025","3381","","","","","","[QA] Check home page",""
"passed","Wed Dec 24 13:06:49 UTC 2025","Wed Dec 24 13:06:52 UTC 2025","3284","","","","","","[QA] Check OpneCart Login",""
"passed","Wed Dec 24 13:07:33 UTC 2025","Wed Dec 24 13:07:38 UTC 2025","4964","","","","","","[QA] Check reward page",""
"passed","Wed Dec 24 13:06:56 UTC 2025","Wed Dec 24 13:07:02 UTC 2025","5412","","","","","","[QA] Check affiliate information page",""
"passed","Wed Dec 24 13:06:52 UTC 2025","Wed Dec 24 13:06:56 UTC 2025","3602","","","","","","[QA] Check reward page",""
"passed","Wed Dec 24 13:06:40 UTC 2025","Wed Dec 24 13:06:45 UTC 2025","4439","","","","","","[QA] Check affiliate information page",""
"passed","Wed Dec 24 13:07:26 UTC 2025","Wed Dec 24 13:07:30 UTC 2025","4407","","","","","","[QA] Check home page",""
"passed","Wed Dec 24 13:07:14 UTC 2025","Wed Dec 24 13:07:25 UTC 2025","10834","","","","","","[QA] Check affiliate information page",""
"passed","Wed Dec 24 13:07:02 UTC 2025","Wed Dec 24 13:07:06 UTC 2025","3635","","","","","","[QA] Check home page",""
"passed","Wed Dec 24 13:07:09 UTC 2025","Wed Dec 24 13:07:13 UTC 2025","4036","","","","","","[QA] Check reward page",""
"skipped","Wed Dec 24 13:07:33 UTC 2025","Wed Dec 24 13:07:33 UTC 2025","1","","","","","","[QA] sample test",""
