"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 24 12:56:53 UTC 2025","Wed Dec 24 12:56:55 UTC 2025","2805","","","","","","[STAGE] Check OpneCart Login",""
"skipped","Wed Dec 24 12:56:33 UTC 2025","Wed Dec 24 12:56:33 UTC 2025","0","","","","","","[STAGE] sample test",""
"passed","Wed Dec 24 12:56:15 UTC 2025","Wed Dec 24 12:56:18 UTC 2025","3113","","","","","","[STAGE] Check OpneCart Login",""
"skipped","Wed Dec 24 12:56:18 UTC 2025","Wed Dec 24 12:56:18 UTC 2025","0","","","","","","[STAGE] sample test",""
"passed","Wed Dec 24 12:56:18 UTC 2025","Wed Dec 24 12:56:21 UTC 2025","3246","","","","","","[STAGE] Check reward page",""
"passed","Wed Dec 24 12:56:49 UTC 2025","Wed Dec 24 12:56:53 UTC 2025","4022","","","","","","[STAGE] Check home page",""
"passed","Wed Dec 24 12:56:22 UTC 2025","Wed Dec 24 12:56:26 UTC 2025","4779","","","","","","[STAGE] Check affiliate information page",""
"passed","Wed Dec 24 12:56:11 UTC 2025","Wed Dec 24 12:56:14 UTC 2025","3161","","","","","","[STAGE] Check home page",""
"passed","Wed Dec 24 12:56:33 UTC 2025","Wed Dec 24 12:56:37 UTC 2025","3669","","","","","","[STAGE] Check reward page",""
"passed","Wed Dec 24 12:56:55 UTC 2025","Wed Dec 24 12:57:00 UTC 2025","4550","","","","","","[STAGE] Check reward page",""
"passed","Wed Dec 24 12:56:38 UTC 2025","Wed Dec 24 12:56:48 UTC 2025","10069","","","","","","[STAGE] Check affiliate information page",""
"passed","Wed Dec 24 12:56:06 UTC 2025","Wed Dec 24 12:56:10 UTC 2025","4039","","","","","","[STAGE] Check affiliate information page",""
"passed","Wed Dec 24 12:56:30 UTC 2025","Wed Dec 24 12:56:33 UTC 2025","3038","","","","","","[STAGE] Check OpneCart Login",""
"passed","Wed Dec 24 12:56:27 UTC 2025","Wed Dec 24 12:56:30 UTC 2025","3105","","","","","","[STAGE] Check home page",""
"skipped","Wed Dec 24 12:56:55 UTC 2025","Wed Dec 24 12:56:55 UTC 2025","1","","","","","","[STAGE] sample test",""
